Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W114909093023001,6356,Gujarat,Panchmahal,Kalol,Khadki Vadiya,4.929384732431274e-05,6.163633138816077e-07,0.75,0.03220521085146388,0.140625,0.2485639686684073,0.00859504132231405,0.011428571428571429,0.0017142857142857144,0.003791936310851822,0.05500550055005501,0.01972386587771203,0.06816220880069025,0.02291882300754103,0.0011862396204033216,0.08968609865470852,0.13167259786476868,0.04377315474494158,0.6232155163926358
W114909093023001,6357,Gujarat,Panchmahal,Kalol,Kalol UR_2,4.921682766972801e-05,6.154778042750255e-07,0.75,0.0505774912704808,0.0,0.2548302872062663,0.035922865013774105,0.01732142857142857,0.05657142857142858,0.003791936310851822,0.11569490282361569,0.03944773175542406,0.13114754098360656,0.026911134112080435,0.0011862396204033216,0.04484304932735426,0.15302491103202845,0.07141635793673412,0.6232155163926358
W114909093023001,6358,Gujarat,Panchmahal,Kalol,Kalol UR_1,4.916301852805946e-05,6.155630858161318e-07,0.75,0.033709374160623154,0.0,0.2741514360313316,0.015647382920110194,0.004821428571428571,0.008571428571428572,0.003791936310851822,0.09167583425009168,0.0631163708086785,0.091458153580673,0.012272660062102616,0.014234875444839859,0.0,0.12455516014234874,0.04742091764035338,0.6232155163926358
W114909093023001,6359,Gujarat,Panchmahal,Morwa hadaf,Santroad_1,4.97925400149935e-05,6.201846835951461e-07,0.75,0.0174590384098845,0.0,0.13368146214099216,0.006280991735537191,0.006071428571428571,0.009714285714285715,0.003791936310851822,0.04033736707004034,0.05128205128205129,0.03882657463330458,0.00887180245453201,0.0035587188612099647,0.04484304932735426,0.12455516014234874,0.024337418067825592,0.6232155163926358
W114909093023001,6360,Gujarat,Patan,Chanasma,Dhinoj,5.2741642691829066e-05,5.99509028938948e-07,0.5,0.06363147998925597,0.0,0.2741514360313316,0.04451790633608815,0.029642857142857144,0.001142857142857143,0.003791936310851822,0.09534286762009535,0.1301775147928994,0.05953408110440035,0.04554191926659766,0.03440094899169632,0.0,0.10320284697508897,0.08994015388999715,0.6232155163926358
W114909093023001,6361,Gujarat,Patan,Santalpur,Piprala,5.269644561114679e-05,5.834763975403696e-07,0.75,0.20024174053182917,0.0,0.43342036553524804,0.17575757575757575,0.09517857142857143,0.036571428571428574,0.003791936310851822,0.16336633663366337,0.04733727810650888,0.181190681622088,0.18482921780275025,0.002372479240806643,0.3139013452914798,0.24555160142348753,0.28418352807067543,0.6232155163926358
W114909093023001,6362,Gujarat,Porbandar,Kutiyana,Kutiyana1,4.580582450368447e-05,5.688283764414979e-07,0.75,0.09033037872683321,0.0,0.15300261096605744,0.09608815426997246,0.008392857142857143,0.021142857142857144,0.003791936310851822,0.09350935093509351,0.0631163708086785,0.09318377911993098,0.0746710039923111,0.002372479240806643,0.0,0.18505338078291814,0.12789968652037617,0.6232155163926358
W114909093023001,6363,Gujarat,Porbandar,Porbandar,Kolikhada village-2,4.604229412552396e-05,5.633703035689621e-07,0.75,0.056540424388933655,0.09375,0.3122715404699739,0.035151515151515156,0.02,0.03142857142857143,0.003791936310851822,0.034836817015034834,0.02366863905325444,0.04745470232959448,0.06609492828626348,0.0011862396204033216,0.08520179372197309,0.16725978647686832,0.0798518096323739,0.6232155163926358
W114909093023001,6364,Gujarat,Porbandar,Porbandar,Visavada,4.633574488989865e-05,5.610951648121115e-07,0.5,0.22054794520547946,0.0,0.03185378590078329,0.28121212121212125,0.08410714285714285,0.008,0.003791936310851822,0.3412174550788412,0.22485207100591717,0.2907679033649698,0.1468283306225048,0.011862396204033215,0.04484304932735426,0.03914590747330961,0.313023653462525,0.6232155163926358
W114909093023001,6365,Gujarat,Rajkot,Dhoraji,Bhada Jaliya,4.590269531782091e-05,5.731714203527269e-07,0.75,0.0358044587698093,0.0,0.2804177545691906,0.018732782369146005,0.00625,0.012571428571428572,0.003791936310851822,0.033003300330033,0.03550295857988166,0.03882657463330458,0.03548720981812804,0.0011862396204033216,0.04484304932735426,0.17437722419928825,0.05038472499287547,0.6232155163926358
