Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W192743081451301,460,Chhattisgarh,Bastar,Kondagaon,Surkupal,19.59,81.72,8.0,262.0,0.0,134.0,21.0,0.0,3.0,0.0,110.0,24.0,12.0,16.0,0.0,2.0,14.0,,0.0
W192610081452001,461,Chhattisgarh,Bastar,Kondagaon,Joba,19.44,81.76,8.0,260.0,0.0,134.0,14.0,0.0,3.0,0.0,100.0,28.0,7.0,17.0,0.0,2.0,4.0,,0.0
W191950081495501,462,Chhattisgarh,Bastar,Bastar,Bhanpuri,19.33,81.83,8.0,302.0,0.0,122.0,14.0,0.0,6.0,0.0,140.0,40.0,10.0,4.0,1.0,1.0,5.0,,0.0
W191210081431001,463,Chhattisgarh,Bastar,Londigura,Chitrakot,19.2,81.72,8.0,376.0,0.0,232.0,7.0,0.0,0.0,0.0,170.0,48.0,12.0,12.0,4.0,0.0,5.0,,0.0
W191020081451701,464,Chhattisgarh,Bastar,lourdigadh,Usri bera,19.17,81.75,7.0,422.0,0.0,244.0,14.0,0.0,8.0,0.0,215.0,68.0,11.0,4.0,1.0,0.0,6.0,,0.0
W195035081522701,465,Chhattisgarh,Bastar,Jagdalpur,Dewargaon,19.12,81.9,8.0,298.0,0.0,146.0,14.0,0.0,11.0,0.0,140.0,36.0,12.0,3.0,1.0,0.0,6.0,,0.0
W190545081573001,466,Chhattisgarh,Bastar,Jagdalpur,Kumharwand,19.09,81.96,8.0,233.0,0.0,122.0,7.0,8.0,1.0,0.0,115.0,36.0,6.0,2.0,1.0,0.0,4.0,,0.0
W190510082014001,467,Chhattisgarh,Bastar,Jagdalpur,Jagdalpur,19.09,82.03,7.0,181.0,0.0,79.0,14.0,5.0,4.0,0.0,80.0,20.0,7.0,5.0,2.0,0.0,3.0,,0.0
W190350082085001,468,Chhattisgarh,Bastar,Jagdalpur,Markel,19.06,82.15,7.0,123.0,0.0,61.0,7.0,0.0,1.0,0.0,50.0,12.0,5.0,2.0,3.0,0.0,2.0,,0.0
W191205081561001,469,Chhattisgarh,Bastar,Jagdalpur,Bastar,19.2,81.94,7.0,349.0,0.0,171.0,21.0,0.0,18.0,0.0,175.0,52.0,11.0,4.0,1.0,0.0,5.0,,0.0
W191700081570001,470,Chhattisgarh,Bastar,Bastar,Sonarpal,19.26,81.89,7.0,607.0,0.0,268.0,43.0,0.0,29.0,0.0,280.0,92.0,12.0,8.0,4.0,0.0,4.0,,0.0
W192047081465101,471,Chhattisgarh,Bastar,Bastar,Farsaguda,19.35,81.81,8.0,268.0,0.0,98.0,21.0,0.0,20.0,0.0,110.0,32.0,7.0,9.0,0.0,0.0,4.0,,0.0
W201645081294501,472,Chhattisgarh,Kanker,Kanker,Kanker,20.28,81.5,7.0,1533.0,0.0,378.0,255.0,70.0,1.0,0.0,520.0,84.0,74.0,119.0,2.0,2.0,15.0,,30.0
W202213081262901,473,Chhattisgarh,Kanker,Charama,Tegara,20.37,81.44,8.0,255.0,0.0,152.0,7.0,0.0,0.0,0.0,115.0,36.0,6.0,9.0,2.0,1.0,14.0,,0.0
